# Canonical UI label catalog (i18n) - PORTABLE SOURCE OF TRUTH.
#
# Applied at startup by UiTranslationSyncService to ANY active database
# (SQLite and PostgreSQL) through JPA: this mechanism keeps localizations
# aligned across the two engines.
#
# RULE: add every NEW UI key HERE, never in DemoDataRepository's
# seedLabelTranslations* methods (SQLite-only SQL, not run under the PostgreSQL profile).
#
# TSV format, one record per line, with seven TAB-separated fields:
#   key <TAB> description <TAB> it <TAB> en <TAB> fr <TAB> es <TAB> de
# All five languages are required and must be non-empty (verified by UiTranslationCatalogTest).
# Empty lines and lines starting with # are ignored. Values cannot contain TAB characters.
# Synchronization is ADDITIVE: it never overwrites translations already present in the database
# (changes made on the Labels page remain intact).
#
affinity.avoid	Livello compatibilità: da evitare	Da evitare	Avoid	À éviter	A evitar	Zu vermeiden
error.email.badData	Errore invio: dati non validi	Dati non validi: rigenera i PDF e riprova.	Invalid data: regenerate the PDFs and try again.	Données non valides : régénérez les PDF et réessayez.	Datos no válidos: regenera los PDF e inténtalo de nuevo.	Ungültige Daten: PDFs neu erstellen und erneut versuchen.
error.email.connection	Errore invio: server di posta non raggiungibile	Impossibile raggiungere il server di posta: controlla la connessione a Internet e riprova.	Cannot reach the mail server: check your Internet connection and try again.	Impossible de joindre le serveur de messagerie : vérifiez la connexion Internet et réessayez.	No se puede contactar con el servidor de correo: comprueba la conexión a Internet e inténtalo de nuevo.	Mailserver nicht erreichbar: Internetverbindung prüfen und erneut versuchen.
error.email.generic	Errore invio: problema imprevisto del server di posta	Invio non riuscito per un problema del server di posta: riprova più tardi.	Sending failed due to a mail server problem: try again later.	Échec de l'envoi en raison d'un problème du serveur de messagerie : réessayez plus tard.	El envío falló por un problema del servidor de correo: inténtalo más tarde.	Senden wegen eines Mailserver-Problems fehlgeschlagen: versuchen Sie es später erneut.
error.email.noEmail	Errore invio: dipendente senza indirizzo email	L'operatore non ha un indirizzo email: aggiungilo dalla pagina Operatori.	The operator has no email address: add it from the Operators page.	L'opérateur n'a pas d'adresse e-mail : ajoutez-la depuis la page Opérateurs.	El operador no tiene dirección de email: añádela desde la página Operadores.	Der Mitarbeiter hat keine E-Mail-Adresse: fügen Sie sie auf der Mitarbeiterseite hinzu.
error.email.notConfigured	Errore invio: server SMTP non configurato	Il server SMTP non è configurato: completa i Parametri Email nella Configurazione.	The SMTP server is not configured: complete the Email Settings in Configuration.	Le serveur SMTP n'est pas configuré : complétez les Paramètres e-mail dans la Configuration.	El servidor SMTP no está configurado: completa los Parámetros de correo en la Configuración.	Der SMTP-Server ist nicht konfiguriert: E-Mail-Einstellungen in der Konfiguration vervollständigen.
error.email.notFound	Errore invio: dipendente non trovato	Operatore non trovato: aggiorna la pagina e rigenera i PDF.	Operator not found: refresh the page and regenerate the PDFs.	Opérateur introuvable : actualisez la page et régénérez les PDF.	Operador no encontrado: actualiza la página y regenera los PDF.	Mitarbeiter nicht gefunden: Seite aktualisieren und PDFs neu erstellen.
error.email.quota	Errore invio: limite invii raggiunto	Raggiunto il limite di invii del servizio di posta: riprova più tardi.	The mail service sending limit was reached: try again later.	Limite d'envoi du service de messagerie atteinte : réessayez plus tard.	Se alcanzó el límite de envíos del servicio de correo: inténtalo más tarde.	Sendelimit des Maildienstes erreicht: versuchen Sie es später erneut.
error.email.recipient	Errore invio: destinatario rifiutato dal server	Il server ha rifiutato il destinatario: controlla che l'indirizzo email dell'operatore sia corretto.	The server rejected the recipient: check that the operator's email address is correct.	Le serveur a refusé le destinataire : vérifiez que l'adresse e-mail de l'opérateur est correcte.	El servidor rechazó el destinatario: comprueba que la dirección de email del operador sea correcta.	Der Server hat den Empfänger abgelehnt: prüfen Sie, ob die E-Mail-Adresse des Mitarbeiters korrekt ist.
error.email.sender	Errore invio: mittente rifiutato dal server	Il server ha rifiutato il mittente: l'indirizzo mittente non è autorizzato sul servizio di posta.	The server rejected the sender: the sender address is not authorized on the mail service.	Le serveur a refusé l'expéditeur : l'adresse d'expédition n'est pas autorisée sur le service de messagerie.	El servidor rechazó el remitente: la dirección del remitente no está autorizada en el servicio de correo.	Der Server hat den Absender abgelehnt: die Absenderadresse ist beim Maildienst nicht autorisiert.
hint.clickConstraintForSettings	Nota: clicca un vincolo per aprire i Parametri Solver	Clicca un vincolo per aprire i Parametri Solver in una nuova scheda.	Click a constraint to open Solver Settings in a new tab.	Cliquez sur une contrainte pour ouvrir les paramètres du solveur dans un nouvel onglet.	Haz clic en una restricción para abrir los parámetros del solver en una nueva pestaña.	Klicken Sie auf eine Bedingung, um die Solver-Einstellungen in einem neuen Tab zu öffnen.
hint.inactiveEmployee	Suggerimento dipendente disattivato	Se disattivato non compare in Gestione Turni e il solver non gli assegna turni.	If deactivated, it no longer appears in Shift Management and the solver won't assign shifts to them.	S'il est désactivé, il n'apparaît plus dans la gestion des quarts et le solveur ne lui attribue aucun quart.	Si está desactivado, no aparece en la gestión de turnos y el solver no le asigna turnos.	Wenn deaktiviert, erscheint er nicht mehr in der Schichtverwaltung und der Solver weist ihm keine Schichten zu.
hint.inactiveLocation	Suggerimento sede disattivata	Se disattivata non compare in Gestione Turni e il solver non la considera.	If deactivated, it no longer appears in Shift Management and the solver ignores it.	Si elle est désactivée, elle n'apparaît plus dans la gestion des quarts et le solveur l'ignore.	Si está desactivada, no aparece en la gestión de turnos y el solver la ignora.	Wenn deaktiviert, erscheint er nicht mehr in der Schichtverwaltung und der Solver ignoriert ihn.
hint.incompatibleSpecialist	Avviso rischio turni scoperti	"Incompatibile" vieta l'assegnazione: può lasciare turni scoperti.	"Incompatible" forbids the assignment: shifts may remain uncovered.	« Incompatible » interdit l'affectation : des quarts peuvent rester non couverts.	"Incompatible" prohíbe la asignación: pueden quedar turnos sin cubrir.	"Unvereinbar" verbietet die Zuweisung: Schichten können unbesetzt bleiben.
hint.loadTemplateReplaces	Nota: applicando un template i turni del periodo vengono sostituiti	Applicando un template, i turni del periodo visibile verranno sostituiti.	Applying a template will replace the shifts in the visible period.	L'application d'un modèle remplacera les quarts de la période visible.	Al aplicar una plantilla se sustituirán los turnos del período visible.	Beim Anwenden einer Vorlage werden die Schichten im sichtbaren Zeitraum ersetzt.
hint.saveTemplateNoOperators	Nota: salva solo turni senza operatori	Vengono salvati solo i turni per sede, senza gli operatori assegnati.	Only the per-location shifts are saved, without the assigned operators.	Seuls les quarts par site sont enregistrés, sans les opérateurs affectés.	Solo se guardan los turnos por sede, sin los operadores asignados.	Es werden nur die Schichten pro Standort gespeichert, ohne die zugewiesenen Operatoren.
hint.skillTranslationFallback	Nota fallback traduzioni competenza	Le lingue lasciate vuote useranno il Nome base.	Languages left empty will use the base Name.	Les langues laissées vides utiliseront le Nom de base.	Los idiomas vacíos usarán el Nombre base.	Leere Sprachen verwenden den Basisnamen.
label.active	Etichetta Attivo	Attivo	Active	Actif	Activo	Aktiv
label.activeYes	Badge attivo Si	Sì	Yes	Oui	Sí	Ja
label.address	Etichetta indirizzo	Indirizzo	Address	Adresse	Dirección	Adresse
label.code	Etichetta Codice	Codice	Code	Code	Código	Code
label.dayOfWeek	Etichetta Giorno della settimana	Giorno	Day	Jour	Día	Tag
label.description	Etichetta Descrizione	Descrizione	Description	Description	Descripción	Beschreibung
label.email	Etichetta Email	Email	Email	E-mail	Correo electrónico	E-Mail
label.employee	Etichetta Impiegato	Operatore	Operator	Opérateur	Operador	Mitarbeiter
label.end	Etichetta Fine	Fine	End	Fin	Fin	Ende
label.endTime	Etichetta Ora Fine	Ora Fine	End Time	Heure Fin	Hora Fin	Endzeit
label.facility	Etichetta Struttura	Struttura	Facility	Structure	Instalación	Einrichtung
label.firstName	Etichetta Nome	Nome	First Name	Prénom	Nombre	Vorname
label.inactive	Badge attivo No	No	No	Non	No	Nein
label.key	Etichetta Chiave	Chiave	Key	Clé	Clave	Schlüssel
label.lastName	Etichetta Cognome	Cognome	Last Name	Nom	Apellido	Nachname
label.location	Etichetta Sede	Sede	Location	Lieu	Ubicación	Ort
label.locationCode	Etichetta Codice Sede	Codice Sede	Location Code	Code Lieu	Código Ubicación	Ortscode
label.locationName	Etichetta Nome Sede	Nome Sede	Location Name	Nom du Lieu	Nombre Ubicación	Ortsname
label.locationOrder	Etichetta Ordine Sede	Ordine Sede	Location Order	Ordre Lieu	Orden Ubicación	Ortsreihenfolge
label.month	Etichetta Mese	Mese	Month	Mois	Mes	Monat
label.name	Etichetta Nome	Nome	Name	Nom	Nombre	Name
label.nurse	Etichetta Infermiera	Infermiera	Nurse	Infirmière	Enfermera	Krankenschwester
label.operator	Etichetta Operatore	Operatore	Operator	Opérateur	Operador	Mitarbeiter
label.optionalSkills	Etichetta Skill Opzionali	Skill Opzionali	Optional Skills	Compétences Optionnelles	Habilidades Opcionales	Optionale Kompetenzen
label.order	Etichetta Ordine	Ordine	Order	Ordre	Orden	Reihenfolge
label.period	Etichetta campo Periodo (Report)	Periodo	Period	Période	Período	Zeitraum
label.phone	Etichetta telefono	Telefono	Phone	Téléphone	Teléfono	Telefon
label.reportPreview	Etichetta anteprima report	Anteprima turni trovati:	Preview shifts found:	Aperçu des quarts trouvés:	Vista previa de turnos encontrados:	Vorschau gefundener Schichten:
label.requiredSkills	Etichetta Skill Richieste	Skill Richieste	Required Skills	Compétences Requises	Habilidades Requeridas	Erforderliche Kompetenzen
label.satisfiedConstraints	Etichetta Vincoli rispettati	Vincoli rispettati	Satisfied constraints	Contraintes respectées	Restricciones cumplidas	Erfüllte Bedingungen
label.score	Etichetta Punteggio	Punteggio	Score	Score	Puntuación	Punktzahl
label.selectMonthForReport	Etichetta seleziona mese per report	Seleziona il mese per cui generare il report.	Select the month for generating the report.	Sélectionnez le mois pour générer le rapport.	Seleccione el mes para generar el reporte.	Wählen Sie den Monat für den Bericht.
label.skills	Etichetta Skills	Skills	Skills	Compétences	Habilidades	Kompetenzen
label.specialist	Etichetta Specialista	Specialista	Specialist	Spécialiste	Especialista	Spezialist
label.specialistCompatibility	Etichetta sezione compatibilità specialisti	Compatibilità con Specialisti	Specialist Compatibility	Compatibilité avec les spécialistes	Compatibilidad con especialistas	Kompatibilität mit Spezialisten
label.start	Etichetta Inizio	Inizio	Start	Début	Inicio	Start
label.startTime	Etichetta Ora Inizio	Ora Inizio	Start Time	Heure Début	Hora Inicio	Startzeit
label.structureName	Etichetta nome struttura	Nome Struttura	Structure Name	Nom de la Structure	Nombre de la Estructura	Strukturname
label.translations	Etichetta Traduzioni	Traduzioni	Translations	Traductions	Traducciones	Übersetzungen
label.type	Etichetta Tipo	Tipo	Type	Type	Tipo	Typ
label.violatedConstraints	Etichetta Vincoli violati	Vincoli violati	Violated constraints	Contraintes violées	Restricciones incumplidas	Verletzte Bedingungen
labels.addTooltip	Tooltip aggiunta etichetta	Aggiungi una nuova etichetta	Add a new label	Ajouter un nouveau libellé	Añadir una nueva etiqueta	Neue Beschriftung hinzufügen
labels.deleteTitle	Titolo eliminazione etichetta	Elimina etichetta	Delete label	Supprimer le libellé	Eliminar etiqueta	Beschriftung löschen
labels.noResults	Messaggio nessuna etichetta	Nessuna etichetta trovata.	No labels found.	Aucun libellé trouvé.	No se encontraron etiquetas.	Keine Beschriftungen gefunden.
labels.results	Conteggio risultati etichette	{{count}} risultato/i	{{count}} result(s)	{{count}} résultat(s)	{{count}} resultado(s)	{{count}} Ergebnis(se)
labels.searchPlaceholder	Placeholder ricerca etichette	Cerca per chiave o descrizione…	Search by key or description…	Rechercher par clé ou description…	Buscar por clave o descripción…	Nach Schlüssel oder Beschreibung suchen…
labels.showTranslationKeys	Etichetta switch mostra chiavi	Mostra chiavi	Show keys	Afficher les clés	Mostrar claves	Schlüssel anzeigen
modal.addEmployee	Titolo modal aggiungi dipendente	Aggiungi Operatore	Add Operator	Ajouter Opérateur	Añadir Operador	Mitarbeiter hinzufügen
modal.addLabel	Titolo modal Aggiungi etichetta	Aggiungi Etichetta	Add Label	Ajouter une étiquette	Añadir etiqueta	Etikett hinzufügen
modal.addLocation	Titolo modal aggiungi sede	Aggiungi Sede	Add Location	Ajouter Lieu	Añadir Ubicación	Ort hinzufügen
modal.addShift	Titolo modal Aggiungi turno	Aggiungi Turno	Add Shift	Ajouter un quart	Añadir turno	Schicht hinzufügen
modal.addSkill	Titolo aggiunta competenza	Aggiungi competenza	Add skill	Ajouter une compétence	Añadir competencia	Kompetenz hinzufügen
modal.addSpecialist	Titolo modale Aggiungi Specialista	Aggiungi Specialista	Add Specialist	Ajouter Spécialiste	Añadir Especialista	Spezialist hinzufügen
modal.addStructure	Titolo modal aggiungi struttura	Aggiungi Struttura	Add Structure	Ajouter Structure	Añadir Estructura	Struktur hinzufügen
modal.addTemplate	Titolo modal Aggiungi turno-template	Aggiungi turno-template	Add template shift	Ajouter un quart-modèle	Añadir turno de plantilla	Vorlagenschicht hinzufügen
modal.availabilityDetail	Titolo modal dettaglio disponibilità	Dettaglio Disponibilità	Availability Detail	Détail Disponibilité	Detalle Disponibilidad	Verfügbarkeitsdetail
modal.confirm	Titolo modal conferma	Conferma	Confirm	Confirmer	Confirmar	Bestätigen
modal.dateDetails	Titolo modal dettaglio data	Dettaglio Disponibilità	Availability Detail	Détail Disponibilité	Detalle Disponibilidad	Verfügbarkeitsdetail
modal.deleteEmployee	Titolo modal elimina dipendente	Elimina Operatore	Delete Operator	Supprimer Opérateur	Eliminar Operador	Mitarbeiter löschen
modal.deleteLabel	Titolo modal elimina etichetta	Elimina Etichetta	Delete Label	Supprimer Étiquette	Eliminar Etiqueta	Beschriftung löschen
modal.deleteLanguage	Titolo modal elimina lingua	Elimina Lingua	Delete Language	Supprimer Langue	Eliminar Idioma	Sprache löschen
modal.deleteLocation	Titolo modal elimina sede	Elimina Sede	Delete Location	Supprimer Lieu	Eliminar Ubicación	Ort löschen
modal.editEmployee	Titolo modal modifica dipendente	Modifica Operatore	Edit Operator	Modifier Opérateur	Editar Operador	Mitarbeiter bearbeiten
modal.editLabel	Titolo modal Modifica etichetta	Modifica Etichetta	Edit Label	Modifier l'étiquette	Editar etiqueta	Etikett bearbeiten
modal.editLocation	Titolo modal modifica sede	Modifica Sede	Edit Location	Modifier Lieu	Editar Ubicación	Ort bearbeiten
modal.editSavedTemplate	Titolo modale modifica template salvato	Modifica template	Edit template	Modifier le modèle	Editar plantilla	Vorlage bearbeiten
modal.editShift	Titolo modal Modifica turno	Modifica Turno	Edit Shift	Modifier le quart	Editar turno	Schicht bearbeiten
modal.editSkill	Titolo modifica competenza	Modifica competenza	Edit skill	Modifier la compétence	Editar competencia	Kompetenz bearbeiten
modal.editSpecialist	Titolo modale Modifica Specialista	Modifica Specialista	Edit Specialist	Modifier Spécialiste	Editar Especialista	Spezialist bearbeiten
modal.editStructure	Titolo modal modifica struttura	Modifica Struttura	Edit Structure	Modifier Structure	Editar Estructura	Struktur bearbeiten
modal.editTemplate	Titolo modal Modifica turno-template	Modifica turno-template	Edit template shift	Modifier le quart-modèle	Editar turno de plantilla	Vorlagenschicht bearbeiten
modal.employeeDates	Titolo modal date dipendente	Date Operatore	Operator Dates	Dates Opérateur	Fechas Operador	Mitarbeiterdaten
modal.employeeDatesList	Titolo modal lista date dipendente	Date Operatore	Operator Dates	Dates Opérateur	Fechas Operador	Mitarbeiterdaten
modal.handleShift	Titolo modal gestione turno	Gestione Turno	Handle Shift	Gérer Quart	Gestionar Turno	Schicht verwalten
modal.labelManagement	Titolo modal gestione etichette	Gestione Etichette	Labels Management	Gestion des Étiquettes	Gestión de Etiquetas	Beschriftungsverwaltung
modal.languageManagement	Titolo modal gestione lingue	Gestione Lingue	Language Management	Gestion des Langues	Gestión de Idiomas	Sprachverwaltung
modal.loadTemplate	Titolo modale carica template	Carica da template	Load from template	Charger depuis un modèle	Cargar desde plantilla	Aus Vorlage laden
modal.manageLabels	Titolo modal gestione etichette	Gestione Etichette	Labels Management	Gestion des Étiquettes	Gestión de Etiquetas	Beschriftungsverwaltung
modal.manageLanguages	Titolo modal gestione lingue	Gestione Lingue	Language Management	Gestion des Langues	Gestión de Idiomas	Sprachverwaltung
modal.manageStructures	Titolo modal gestione strutture	Gestione Strutture	Manage Structures	Gestion des Structures	Gestión de Estructuras	Strukturen verwalten
modal.printCoverage	Titolo modal stampa copertura	Stampa Copertura Turni	Print Coverage Shifts	Imprimer Couverture Quarts	Imprimir Cobertura Turnos	Schichtdeckung drucken
modal.printCoverageShifts	Titolo modal stampa copertura turni	Stampa Copertura Turni	Print Coverage Shifts	Imprimer Couverture Quarts	Imprimir Cobertura Turnos	Schichtdeckung drucken
modal.printShifts	Titolo modal stampa turni	Stampa Turni Settimanali	Print Weekly Shifts	Imprimer Quarts Hebdomadaires	Imprimir Turnos Semanales	Wöchentliche Schichten drucken
modal.printWeeklyShifts	Titolo modal stampa turni settimanali	Stampa Turni Settimanali	Print Weekly Shifts	Imprimer Quarts Hebdomadaires	Imprimir Turnos Semanales	Wöchentliche Schichten drucken
modal.saveTemplate	Titolo modale salva template	Salva in template	Save to template	Enregistrer dans le modèle	Guardar en plantilla	In Vorlage speichern
modal.scoreAnalysis	Titolo modal analisi score	Analisi Score	Score Analysis	Analyse du Score	Análisis de Puntuación	Score-Analyse
modal.shiftDetail	Titolo modal dettaglio turno	Dettaglio Turno	Shift Detail	Détail du Quart	Detalle del Turno	Schichtdetail
modal.shiftDetails	Titolo modal dettaglio turno	Dettaglio Turno	Shift Detail	Détail du Quart	Detalle del Turno	Schichtdetail
modal.shiftsList	Titolo modal lista turni	Lista Turni	Shifts List	Liste des Quarts	Lista de Turnos	Schichtliste
modal.skillsForShift	Titolo modal skill turno	Skill del Turno	Skills for Shift	Compétences du Quart	Habilidades del Turno	Schichtkompetenzen
modal.skillsList	Titolo modal lista skill	Lista Skill	Skills List	Liste des Compétences	Lista de Habilidades	Kompetenzliste
modal.solveResult	Titolo modal Risultato solve	Risultato Solve	Solve Result	Résultat de la résolution	Resultado de la resolución	Lösungsergebnis
modal.translations	Titolo modal traduzioni	Traduzioni	Translations	Traductions	Traducciones	Übersetzungen
month.apr	Aprile	Aprile	April	Avril	Abril	April
month.apr.s	Apr (abbreviazione)	Apr	Apr	Avr	Abr	Apr
month.april	Mese Aprile (nome completo)	Aprile	April	Avril	Abril	April
month.aug	Agosto	Agosto	August	Août	Agosto	August
month.aug.s	Ago (abbreviazione)	Ago	Aug	Aoû	Ago	Aug
month.august	Mese Agosto (nome completo)	Agosto	August	Août	Agosto	August
month.dec	Dicembre	Dicembre	December	Décembre	Diciembre	Dezember
month.dec.s	Dic (abbreviazione)	Dic	Dec	Déc	Dic	Dez
month.december	Mese Dicembre (nome completo)	Dicembre	December	Décembre	Diciembre	Dezember
month.feb	Febbraio	Febbraio	February	Février	Febrero	Februar
month.feb.s	Feb (abbreviazione)	Feb	Feb	Fév	Feb	Feb
month.february	Mese Febbraio (nome completo)	Febbraio	February	Février	Febrero	Februar
month.jan	Gennaio	Gennaio	January	Janvier	Enero	Januar
month.jan.s	Gen (abbreviazione)	Gen	Jan	Jan	Ene	Jan
month.january	Mese Gennaio (nome completo)	Gennaio	January	Janvier	Enero	Januar
month.jul	Luglio	Luglio	July	Juillet	Julio	Juli
month.jul.s	Lug (abbreviazione)	Lug	Jul	Jul	Jul	Jul
month.july	Mese Luglio (nome completo)	Luglio	July	Juillet	Julio	Juli
month.jun	Giugno	Giugno	June	Juin	Junio	Juni
month.jun.s	Giu (abbreviazione)	Giu	Jun	Jui	Jun	Jun
month.june	Mese Giugno (nome completo)	Giugno	June	Juin	Junio	Juni
month.mar	Marzo	Marzo	March	Mars	Marzo	März
month.mar.s	Mar (abbreviazione)	Mar	Mar	Mar	Mar	Mär
month.march	Mese Marzo (nome completo)	Marzo	March	Mars	Marzo	März
month.may	Maggio	Maggio	May	Mai	Mayo	Mai
month.may.s	Mag (abbreviazione)	Mag	May	Mai	May	Mai
month.nov	Novembre	Novembre	November	Novembre	Noviembre	November
month.nov.s	Nov (abbreviazione)	Nov	Nov	Nov	Nov	Nov
month.november	Mese Novembre (nome completo)	Novembre	November	Novembre	Noviembre	November
month.oct	Ottobre	Ottobre	October	Octobre	Octubre	Oktober
month.oct.s	Ott (abbreviazione)	Ott	Oct	Oct	Oct	Okt
month.october	Mese Ottobre (nome completo)	Ottobre	October	Octobre	Octubre	Oktober
month.sep	Settembre	Settembre	September	Septembre	Septiembre	September
month.sep.s	Set (abbreviazione)	Set	Sep	Sep	Sep	Sep
month.september	Mese Settembre (nome completo)	Settembre	September	Septembre	Septiembre	September
monthShort.apr	Mese Apr (abbreviazione)	Apr	Apr	Avr.	Abr	Apr
monthShort.aug	Mese Ago (abbreviazione)	Ago	Aug	Août	Ago	Aug
monthShort.dec	Mese Dic (abbreviazione)	Dic	Dec	Déc.	Dic	Dez
monthShort.feb	Mese Feb (abbreviazione)	Feb	Feb	Févr.	Feb	Feb
monthShort.jan	Mese Gen (abbreviazione)	Gen	Jan	Janv.	Ene	Jan
monthShort.jul	Mese Lug (abbreviazione)	Lug	Jul	Juil.	Jul	Jul
monthShort.jun	Mese Giu (abbreviazione)	Giu	Jun	Juin	Jun	Jun
monthShort.mar	Mese Mar (abbreviazione)	Mar	Mar	Mars	Mar	Mär
monthShort.may	Mese Mag (abbreviazione)	Mag	May	Mai	May	Mai
monthShort.nov	Mese Nov (abbreviazione)	Nov	Nov	Nov.	Nov	Nov
monthShort.oct	Mese Ott (abbreviazione)	Ott	Oct	Oct.	Oct	Okt
monthShort.sep	Mese Set (abbreviazione)	Set	Sep	Sept.	Sep	Sep
msg.allConstraintsSatisfied	Messaggio tutti i vincoli rispettati	Tutti i vincoli rispettati ✓	All constraints satisfied ✓	Toutes les contraintes respectées ✓	Todas las restricciones cumplidas ✓	Alle Bedingungen erfüllt ✓
msg.assigned	Messaggio Assegnato	Assegnato	Assigned	Assigné	Asignado	Zugewiesen
msg.constraintsViolated	Messaggio vincoli violati	vincolo/i violato/i	constraint(s) violated	contrainte(s) violée(s)	restricción(es) incumplida(s)	Bedingung(en) verletzt
msg.dataNotAvailable	Messaggio dati non disponibili	Dati non disponibili.	Data not available.	Données non disponibles.	Datos no disponibles.	Daten nicht verfügbar.
msg.err.employeeCodeInUse	Errore backend codice operatore in uso	Codice operatore già in uso. Scegline uno diverso.	Operator code already in use. Choose a different one.	Code opérateur déjà utilisé. Choisissez-en un autre.	Código de operador ya en uso. Elija otro.	Mitarbeitercode bereits vergeben. Wählen Sie einen anderen.
msg.err.employeeCodeRequired	Errore backend codice operatore obbligatorio	Il codice dell'operatore è obbligatorio.	The operator code is required.	Le code de l'opérateur est obligatoire.	El código del operador es obligatorio.	Der Mitarbeitercode ist erforderlich.
msg.err.employeeEmailInvalid	Errore backend email operatore non valida	Indirizzo email dell'operatore non valido.	Invalid operator email address.	Adresse e-mail de l'opérateur invalide.	Dirección de correo del operador no válida.	Ungültige E-Mail-Adresse des Mitarbeiters.
msg.err.employeeFirstNameRequired	Errore backend nome operatore obbligatorio	Il nome dell'operatore è obbligatorio.	The operator first name is required.	Le prénom de l'opérateur est obligatoire.	El nombre del operador es obligatorio.	Der Vorname des Mitarbeiters ist erforderlich.
msg.err.employeeLastNameRequired	Errore backend cognome operatore obbligatorio	Il cognome dell'operatore è obbligatorio.	The operator last name is required.	Le nom de l'opérateur est obligatoire.	El apellido del operador es obligatorio.	Der Nachname des Mitarbeiters ist erforderlich.
msg.err.labelInsertFailed	Errore backend inserimento etichetta	Errore durante l'inserimento dell'etichetta.	Error inserting the label.	Erreur lors de l'insertion de l'étiquette.	Error al insertar la etiqueta.	Fehler beim Einfügen der Beschriftung.
msg.err.labelNotFound	Errore backend etichetta non trovata	Etichetta non trovata.	Label not found.	Étiquette non trouvée.	Etiqueta no encontrada.	Beschriftung nicht gefunden.
msg.err.languageActiveCannotDelete	Errore backend lingua attiva non eliminabile	Impossibile eliminare la lingua attiva.	The active language cannot be deleted.	Impossible de supprimer la langue active.	No se puede eliminar el idioma activo.	Die aktive Sprache kann nicht gelöscht werden.
msg.err.languageInsertFailed	Errore backend inserimento lingua	Errore durante l'inserimento della lingua.	Error inserting the language.	Erreur lors de l'insertion de la langue.	Error al insertar el idioma.	Fehler beim Einfügen der Sprache.
msg.err.languageNotFound	Errore backend lingua non trovata	Lingua non trovata.	Language not found.	Langue non trouvée.	Idioma no encontrado.	Sprache nicht gefunden.
msg.err.locationCodeInUse	Errore backend codice sede in uso	Codice sede già in uso. Scegline uno diverso.	Location code already in use. Choose a different one.	Code du lieu déjà utilisé. Choisissez-en un autre.	Código de ubicación ya en uso. Elija otro.	Ortscode bereits vergeben. Wählen Sie einen anderen.
msg.err.locationInUse	Errore backend sede referenziata	Sede utilizzata da turni o template: non può essere eliminata.	The location is used by shifts or templates and cannot be deleted.	Le lieu est utilisé par des quarts ou des modèles: suppression impossible.	La ubicación se usa en turnos o plantillas: no se puede eliminar.	Der Ort wird von Schichten oder Vorlagen verwendet und kann nicht gelöscht werden.
msg.err.locationNameRequired	Errore backend nome sede obbligatorio	Il nome della sede è obbligatorio.	The location name is required.	Le nom du lieu est obligatoire.	El nombre de la ubicación es obligatorio.	Der Ortsname ist erforderlich.
msg.err.locationOrderRequired	Errore backend ordine sede obbligatorio	L'ordine della sede deve essere maggiore di zero.	The location order must be greater than zero.	L'ordre du lieu doit être supérieur à zéro.	El orden de la ubicación debe ser mayor que cero.	Die Ortsreihenfolge muss größer als null sein.
msg.err.locationSkillsInvalid	Errore backend competenze sede non valide	Competenze non valide per la sede.	Invalid skills for the location.	Compétences invalides pour le lieu.	Habilidades no válidas para la ubicación.	Ungültige Kompetenzen für den Ort.
msg.err.locationSpecialistInvalid	Errore backend specialista sede non valido	Specialista non valido per questa struttura.	Invalid specialist for this structure.	Spécialiste invalide pour cette structure.	Especialista no válido para esta estructura.	Ungültiger Spezialist für diese Struktur.
msg.err.specialistCodeInUse	Errore backend codice specialista in uso	Codice specialista già in uso. Scegline uno diverso.	Specialist code already in use. Choose a different one.	Code spécialiste déjà utilisé. Choisissez-en un autre.	Código de especialista ya en uso. Elija otro.	Spezialistencode bereits vergeben. Wählen Sie einen anderen.
msg.err.specialistCodeRequired	Errore backend codice specialista obbligatorio	Il codice dello specialista è obbligatorio.	The specialist code is required.	Le code du spécialiste est obligatoire.	El código del especialista es obligatorio.	Der Spezialistencode ist erforderlich.
msg.err.specialistEmailInvalid	Errore backend email specialista non valida	Indirizzo email dello specialista non valido.	Invalid specialist email address.	Adresse e-mail du spécialiste invalide.	Dirección de correo del especialista no válida.	Ungültige E-Mail-Adresse des Spezialisten.
msg.err.specialistFirstNameRequired	Errore backend nome specialista obbligatorio	Il nome dello specialista è obbligatorio.	The specialist first name is required.	Le prénom du spécialiste est obligatoire.	El nombre del especialista es obligatorio.	Der Vorname des Spezialisten ist erforderlich.
msg.err.specialistLastNameRequired	Errore backend cognome specialista obbligatorio	Il cognome dello specialista è obbligatorio.	The specialist last name is required.	Le nom du spécialiste est obligatoire.	El apellido del especialista es obligatorio.	Der Nachname des Spezialisten ist erforderlich.
msg.error.addEmployee	Messaggio errore aggiunta dipendente	Errore durante l'aggiunta dell'operatore.	Error adding operator.	Erreur lors de l'ajout de l'opérateur.	Error al añadir operador.	Fehler beim Hinzufügen des Mitarbeiters.
msg.error.addLocation	Messaggio errore aggiunta sede	Errore nell'aggiunta della location.	Error adding location.	Erreur lors de l'ajout du lieu.	Error al añadir ubicación.	Fehler beim Hinzufügen des Orts.
msg.error.addShift	Messaggio errore aggiunta turno	Errore nell'aggiunta del turno.	Error adding shift.	Erreur lors de l'ajout du quart.	Error al añadir turno.	Fehler beim Hinzufügen der Schicht.
msg.error.addStructure	Errore aggiunta struttura	Errore durante l'aggiunta della struttura.	Error adding structure.	Erreur lors de l'ajout de la structure.	Error al agregar la estructura.	Fehler beim Hinzufügen der Struktur.
